cluster,Name,S_pc,Z,Z_e,log_age,log_age_e,V_esc_km/s,V_rel_km/s,V_rel_e,V_esc_e,a_kpc,e,p_Myr,i_deg,rt_pc,rt_e,R_roc_pc,R_J_pc,S_pc.1,origin,Status
1,ASCC_12,67.95901196,0.0270298,0.007887664,7.69019608,0.199945098,7.73032356,8.616732832,1.321802455,5.263230105,9.972218477,0.170109926,0.900313951,96.26556534,17.55312062,1.410264292,11.45542697,9.298467769,67.95901196,Y,Detached
1,CWNU_1145,67.95901196,0.0270298,0.007887664,7.499687083,0.194991864,7.73032356,8.616732832,1.321802455,5.263230105,9.153765113,0.162936967,0.791782592,93.43077529,25.05410427,15.10076094,6.553965307,5.362754719,67.95901196,Y,Detached
2,ASCC_19,17.9239534,0.0085476,0.002494306,7.06069784,0.183578144,11.34228863,25.52544292,1.6240544,3.275692722,8.285946172,0.089026334,0.681898075,87.53566238,14.7306639,1.987029824,6.229373078,5.725913457,17.9239534,N,Detached
2,UBC_17a,17.9239534,0.0480666,0.014026488,6.759667845,0.175751364,11.34228863,25.52544292,1.6240544,3.275692722,8.444213906,0.092908392,0.701528214,87.56010566,38.62093172,40.24290845,7.275633011,6.563258831,17.9239534,N,Detached
3,ASCC_21,13.29058809,0.0152,0.004435567,7.149219113,0.185879697,16.07180112,20.93985046,2.277542101,3.764261357,8.297464921,0.088329228,0.683320485,87.54147535,12.44776627,5.936202239,6.619173856,7.337639147,13.29058809,Y,Weak
3,Briceno_1,13.29058809,0.0152,0.004435567,7.06069784,0.183578144,16.07180112,20.93985046,2.277542101,3.764261357,8.32526948,0.088740882,0.686758041,87.3989635,6.578073463,1.655308981,5.958186727,6.73375781,13.29058809,Y,Weak
8,ASCC_125,47.39823538,0.0085476,0.002494306,6.599883072,0.17159696,10.10935184,16.85384817,1.696539934,6.283286831,10.47785222,0.186231466,0.96964934,89.17226408,2.462549476,0.079466105,11.1060037,9.322528604,47.39823538,N,Detached
8,CWNU_58,47.39823538,0.0480666,0.014026488,6.889861721,0.179136405,10.10935184,16.85384817,1.696539934,6.283286831,10.52867787,0.2053527,0.976713207,89.41971794,12.92917152,0.384727818,6.691451513,5.657560171,47.39823538,N,Detached
14,Alessi_80B,54.06647178,0.0480666,0.014026488,7.320146286,0.190323803,12.39865995,18.11890101,1.886315261,2.175018945,8.616746335,0.055921395,0.723138135,92.47039929,33.03455613,13.66786767,7.830921947,7.091128316,54.06647178,N,Detached
14,CWNU_275,54.06647178,0.0152,0.004435567,7.480006943,0.194480181,12.39865995,18.11890101,1.886315261,2.175018945,8.533480641,0.061137417,0.712681712,88.60222253,45.10194813,20.59915696,10.45132108,9.439470428,54.06647178,N,Detached
19,BDSB_30,50.40001706,0.0270298,0.007887664,7.06069784,0.183578144,19.05094351,14.56926011,3.116488465,7.803800938,9.864897353,0.151524429,0.885819342,89.91214024,6.432843982,1.18266644,10.60802714,9.201206287,50.40001706,Y,Detached
19,OC_0185,50.40001706,0.0270298,0.007887664,7.519827994,0.195515528,19.05094351,14.56926011,3.116488465,7.803800938,9.818131831,0.170976679,0.879527842,90.75893596,31.93803047,0.589138951,16.86622134,14.31600252,50.40001706,Y,Detached
