cluster,Name,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ruwe,l,b,radial_velocity,dist_kpc,dist_pc,X,Y,Z,Metal,M_e,log_age,log_age_e,dg,Av,Ag,E_BR_RP,d2,mass,e_mass,fb,rc_deg,e_rc_deg,rt_deg,e_rt_deg,ro_deg,e_ro_deg,re_deg,e_re_deg,r50_deg,bw,fitflag,rc_pc,rt_pc,e_rc_pc,e_rt_pc,R_J_pc,a_kpc,e,p_Myr,i_deg
1,ASCC_12,72.50423206,0.045168836,41.72496139,0.029673256,-0.679096667,0.059444502,-2.924508816,0.050594606,0.948244524,0.052705172,18.03809929,1.000715613,163.0481901,-1.8426181,-26.14465879,1.054580306,1054.580306,-9091.804529,296.1465995,-10.35242349,0.0270298,0.007887664,7.69019608,0.199945098,11.15547834,1.101494166,0.948386477,0.452637833,0.008940919,397,79,0.37,0.38992751,0.015969719,0.953668225,0.076620236,0.654106794,0.008151561,1.630143859,0.085278135,0.357296034,0.404882517,comb,7.176966197,17.55312062,0.293937028,1.410264292,9.298467769,9.972218477,0.170109926,0.900313951,96.26556534
1,CWNU_1145,75.99375993,0.056467831,40.15103983,0.035358787,-0.497959353,0.079172481,-2.991723984,0.05831253,0.891478002,0.060890302,14.56321621,1.00078702,165.9893728,-0.776227851,-24.03383812,1.12173267,1121.73267,-9144.4311,255.6237295,4.02701805,0.0270298,0.007887664,7.499687083,0.194991864,10.68425128,1.231234285,1.06009272,0.505952038,19,75,15,0.24,41.93722851,53604.41027,1.279711711,0.771315566,0.624261667,297155.6607,0.630586851,1046822.404,0.508838476,0.55558884,comb,821.0440578,25.05410427,1049463.307,15.10076094,5.362754719,9.153765113,0.162936967,0.791782592,93.43077529
2,ASCC_19,81.992726,0.034891563,-1.934297484,0.027511383,1.168620822,0.04523428,-1.175917045,0.033586327,2.799943139,0.051422969,52.8324337,1.038598537,204.8595032,-19.3611802,11.65061088,0.35715011,357.15011,-8423.799162,-139.2545414,-95.2563169,0.0085476,0.002494306,7.06069784,0.183578144,7.49141136,0.395842236,0.340820165,0.16266375,0.016627936,107,21,0.21,0.365236574,0.007115779,2.363165647,0.31876911,0.517826826,0.005370267,0.919245072,0.038750623,0.389293681,0.446620077,comb,2.276682221,14.7306639,0.044355819,1.987029824,5.725913457,8.285946172,0.089026334,0.681898075,87.53566238
2,UBC_17a,84.49046475,0.038535655,-1.832405675,0.034041096,1.797392589,0.045646423,-1.289607187,0.038291149,2.772697299,0.04716083,58.56141472,1.046872675,205.9795961,-17.09274412,11.73650996,0.360659637,360.659637,-8428.340146,-150.8946924,-82.40507359,0.0480666,0.014026488,6.759667845,0.175751364,7.766235242,0.01329495,0.011446952,0.005463304,0.024816327,161,32,0.21,0.952516388,0.175453631,6.135470015,6.393143487,0.475938587,0.040293693,0.625617494,0.161823098,0.726761056,0.420844106,comb,5.99580314,38.62093172,1.104427646,40.24290845,6.563258831,8.444213906,0.092908392,0.701528214,87.56010566
3,ASCC_21,82.30051993,0.044114349,2.948970548,0.035409922,1.544658483,0.054758744,-0.538947106,0.040899115,2.893406853,0.052594451,55.00598145,1.025535524,200.5558865,-16.66219581,10.16829406,0.345613338,345.613338,-8429.400834,-111.0932845,-75.35909798,0.0152,0.004435567,7.149219113,0.185879697,7.370193126,0.197639928,0.170167978,0.081216325,0.019082541,225,45,0.02,40.52109655,14391.335,2.063590705,0.984103613,6.71E-169,1.56E-163,6.26E-147,1.55E-141,0.809627473,0.380598744,comb,244.4269291,12.44776627,86809.83783,5.936202239,7.337639147,8.297464921,0.088329228,0.683320485,87.54147535
3,Briceno_1,81.14857841,0.042789165,1.630926535,0.033147249,1.377606232,0.051596716,-0.043406612,0.039815497,2.881752792,0.051019389,57.35162735,1.021988034,201.1621334,-18.443991,11.58537528,0.347011028,347.011028,-8425.117171,-116.5205845,-86.70962122,0.0152,0.004435567,7.06069784,0.183578144,7.252876261,0.204247199,0.175856839,0.083931456,0.021050679,174,34,0.16,0.581397285,0.108888669,1.08612066,0.273311828,0.719386626,0.005237176,1.479486382,0.043626836,0.409943975,0.403705504,comb,3.521223924,6.578073463,0.659482588,1.655308981,6.73375781,8.32526948,0.088740882,0.686758041,87.3989635
5,ASCC_63,164.1360439,0.057170026,-60.5041044,0.056052757,-5.259511653,0.076697726,2.231632872,0.0683119,0.168239019,0.068795603,2.483175993,1.013213039,289.2485743,-0.716942904,17.94078338,5.943924358,5943.924358,-6438.587493,-4830.59191,-46.54441762,0.0480666,0.014026488,8.780317312,0.22828825,14.49415164,1.841070152,1.585161401,0.756552353,0.052424046,1474,294,0.92,0.074479501,0.002976438,0.198491726,0.017625376,0.126685812,0.001377595,0.302899747,0.012955522,0.092865533,0.3792656,comb,7.726581677,20.59174018,0.308778805,1.828475022,13.61446759,15.06927084,0.47071865,1.672417337,83.4066799
5,Teutsch_143b,167.1584414,0.056735704,-60.76657474,0.053938024,-5.688795443,0.075782534,2.254504972,0.066061355,0.218508799,0.066597708,3.0985533,1.00322789,290.7047445,-0.360496394,19.62370895,4.576474754,4576.474754,-6761.477284,-3602.486361,-5.61806258,0.0085476,0.002494306,9.130333768,0.237388678,13.70849547,1.973574893,1.699247983,0.811002627,0.029145791,1890,378,0.59,0.086627623,0.004318851,0.174588595,0.012894846,0.142958693,0.00063651,0.353082492,0.00603341,0.101268858,0.375277761,comb,6.919342629,13.94518591,0.344966291,1.029970055,14.2110791,13.18773647,0.327585653,1.369183615,87.71107074
5,UBC_261,159.8512124,0.028096238,-60.47540566,0.029005153,-5.596182932,0.037294988,2.6569241,0.0350864,0.214734529,0.033467505,6.366518173,1.0011699,287.3458193,-1.654717532,22.74524828,4.656912908,4656.912908,-6999.495425,-3584.946269,-89.63041895,0.0480666,0.014026488,6.599883072,0.17159696,15.78036594,2.253896887,1.94060522,0.926195557,0.036568339,574,114,0.17,0.084784773,0.003371777,0.208498864,0.016415542,0.11461538,0.000969314,0.221915559,0.008682812,0.081561923,0.453471878,comb,6.891176054,16.94646725,0.274052853,1.334230027,9.75717129,8.136288437,0.354857217,0.663507456,87.60023197
7,ASCC_72,193.7581769,0.03320032,-61.055757,0.03823102,-5.252100281,0.042744987,-0.352564139,0.054328684,0.316099411,0.049973663,6.438638223,1.0086951,303.3669276,1.812720596,-12.77776931,3.163561732,3163.561732,-6539.107189,-2402.956741,107.9288557,0.0480666,0.014026488,6.599883072,0.17159696,15.92677993,3.208750168,2.762733895,1.318574139,0.104842629,586,117,0.31,0.08732493,0.002852882,0.261832197,0.022252451,0.205123101,0.003049978,0.520163404,0.042825412,0.07676763,0.435291758,comb,4.821608313,14.45695173,0.157520648,1.228659476,8.96311541,6.733471172,0.062548165,0.499533721,95.4096677
