cluster,Name,Metal,M_e,log_age,log_age_e,dg,mass,e_mass,rt_pc,e_rt_pc,R_J_pc,a_kpc,e,p_Myr,i_deg,S,V_esc_km/s,V_esc_err,V_rel_km/s,V_rel_err,R_roc
1,ASCC_12,0.0270298,0.007887664,7.69019608,0.199945098,11.15547834,397,79,17.55312062,1.410264292,9.298467769,9.972218477,0.170109926,0.900313951,96.26556534,67.95901196,7.73032356,1.321802455,8.616732832,5.263230105,11.45542697
1,CWNU_1145,0.0270298,0.007887664,7.499687083,0.194991864,10.68425128,75,15,25.05410427,15.10076094,5.362754719,9.153765113,0.162936967,0.791782592,93.43077529,67.95901196,7.73032356,1.321802455,8.616732832,5.263230105,6.553965307
2,ASCC_19,0.0085476,0.002494306,7.06069784,0.183578144,7.49141136,107,21,14.7306639,1.987029824,5.725913457,8.285946172,0.089026334,0.681898075,87.53566238,17.9239534,11.34228863,1.6240544,25.52544292,3.275692722,6.229373078
2,UBC_17a,0.0480666,0.014026488,6.759667845,0.175751364,7.766235242,161,32,38.62093172,40.24290845,6.563258831,8.444213906,0.092908392,0.701528214,87.56010566,17.9239534,11.34228863,1.6240544,25.52544292,3.275692722,7.275633011
3,ASCC_21,0.0152,0.004435567,7.149219113,0.185879697,7.370193126,225,45,12.44776627,5.936202239,7.337639147,8.297464921,0.088329228,0.683320485,87.54147535,13.29058809,16.07180112,2.277542101,20.93985046,3.764261357,6.619173856
3,Briceno_1,0.0152,0.004435567,7.06069784,0.183578144,7.252876261,174,34,6.578073463,1.655308981,6.73375781,8.32526948,0.088740882,0.686758041,87.3989635,13.29058809,16.07180112,2.277542101,20.93985046,3.764261357,5.958186727
7,ASCC_72,0.0480666,0.014026488,6.599883072,0.17159696,15.92677993,586,117,14.45695173,1.228659476,8.96311541,6.733471172,0.062548165,0.499533721,95.4096677,284.5507735,4.796921859,0.772301348,15.43110327,2.785267121,10.1647595
7,UBC_1513,0.0152,0.004435567,8.439332694,0.21942265,13.22221312,175,35,6.44894696,0.138391166,6.138775828,6.972150723,0.091614683,0.526327975,74.08911676,284.5507735,4.796921859,0.772301348,15.43110327,2.785267121,6.794138497
8,ASCC_125,0.0085476,0.002494306,6.599883072,0.17159696,11.91976,460,92,2.462549476,0.079466105,9.322528604,10.47785222,0.186231466,0.96964934,89.17226408,47.39823538,10.10935184,1.696539934,16.85384817,6.283286831,11.1060037
8,CWNU_58,0.0480666,0.014026488,6.889861721,0.179136405,13.81662404,103,20,12.92917152,0.384727818,5.657560171,10.52867787,0.2053527,0.976713207,89.41971794,47.39823538,10.10935184,1.696539934,16.85384817,6.283286831,6.691451513
